   Step          Temp          Press           Pxx            Pyy            Pzz           TotEng    
     50094   300            5072.4929      9610.2753     -11209.358      16816.562     -2706.5452    
     51000   158.30461      543.6679       6167.2422     -19072.991      14536.753     -2705.1224    
     52000   187.11416     -3807.5213      3158.8029     -27765.612      13184.245     -2702.4922    
     53000   225.17655     -1262.0649      3645.615      -21853.161      14421.351     -2699.3715    
     54000   259.7565       1715.3136      10138.894     -19754.069      14761.115     -2696.0564    
     55000   288.54825      154.63012      1720.4149     -15752.013      14495.489     -2693.1358    
     56000   344.94825      2402.0052      15757.551     -23952.569      15401.034     -2691.1862    
     57000   297.09898      4893.5644      9290.1346     -9121.9129      14512.471     -2691.2346    
     58000   315.40934      1730.5803      7717.387      -17633.368      15107.722     -2693.0413    
     59000   274.18647     -8527.766      -7395.6719     -32279.636      14092.01      -2694.4947    
     60000   284.27306     -7967.6532     -7859.1087     -30154.245      14110.394     -2694.4186    
     61000   307.08183      2208.8979      13299.32      -21009.514      14336.888     -2693.0639    
     62000   320.46358      5065.6078      7913.0258     -8572.8806      15856.678     -2692.0578    
     63000   314.29614      4369.9205      23600.377     -25267.756      14777.14      -2692.1509    
     64000   324.87506      3339.6475      4674.0264     -10280.414      15625.33      -2693.1041    
     65000   297.06947     -1236.835       9284.0517     -27982.607      14988.05      -2694.0918    
     66000   290.39471     -8824.3587     -6843.0497     -34025          14394.973     -2694.2687    
     67000   283.901       -6935.4934     -2157.9871     -32639.511      13991.017     -2693.2359    
     68000   326.65462      5832.7497      20549.755     -18636.499      15584.993     -2692.1225    
     69000   308.67415      7553.1365      12199.055     -4385.9319      14846.286     -2692.2878    
     70000   303.71232      3817.2177      17525.663     -20947.438      14873.428     -2693.3554    
     71000   277.5808      -748.96317      4790.2881     -20581.464      13544.286     -2693.9861    
     72000   296.91979     -1545.2071      3816.1682     -23192.442      14740.653     -2693.7595    
     73000   305.81087     -7837.4645     -3598.346      -34048.996      14134.949     -2692.3894    
     74000   323.78816     -3686.7124      748.40065     -26812.375      15003.838     -2691.6752    
     75000   326.94024      2199.2627      13796.568     -22148.113      14949.332     -2692.2836    
     76000   291.786        9728.3349      17013.425     -3210.0889      15381.668     -2693.0389    
     77000   306.18791      4394.9773      17004.992     -18891.282      15071.221     -2693.366     
     78000   300.99999     -2111.5576      4400.1261     -25794.267      15059.468     -2693.3017    
     79000   318.89601      193.46018      4993.5283     -19441.022      15027.874     -2692.4371    
     80000   321.81017     -3805.6446      5808.2238     -31483.384      14258.226     -2690.9758    
     81000   313.69126     -6425.707      -8167.5857     -25689.902      14580.367     -2691.4771    
     82000   322.31592      2324.0717      16391.131     -24379.789      14960.873     -2692.859     
     83000   280.8164       2853.9506      1870.2661     -6940.0322      13631.618     -2693.3838    
     84000   308.26479      655.40481      17887.751     -31499.574      15578.037     -2693.7099    
     85000   284.28047     -2221.621       6347.0947     -27425.59       14413.632     -2693.4825    
     86000   315.602        1748.6406      4228.9178     -14593.995      15610.999     -2692.2501    
     87000   289.84718     -1440.4071      14415.625     -31852.716      13115.869     -2691.8905    
     88000   320.02429     -1851.13        1837.3628     -23349.132      15958.379     -2693.2071    
     89000   292.11714      1879.4328      18139.166     -27876.699      15375.832     -2694.186     
     90000   297.03204      3131.1358      3125.2623     -8738.209       15006.354     -2693.8087    
     91000   298.24999     -643.55767      5607.7495     -21804.074      14265.651     -2692.9858    
     92000   319.21038     -2867.2351      1167.5346     -25045.944      15276.704     -2692.2701    
     93000   310.82894      216.31233      1454.0644     -14779.038      13973.91      -2692.1354    
     94000   293.95315      2690.934       17335.162     -24249.291      14986.931     -2693.6627    
     95000   291.57115     -642.96832     -1130.2416     -15149.726      14351.063     -2694.4202    
     96000   303.06807     -522.10939      12068.571     -28764.073      15129.174     -2693.745     
     97000   289.11772      868.72128      7150.1788     -18635.557      14091.542     -2692.7279    
     98000   309.71405     -1427.8912      3626.8244     -22984.332      15073.834     -2692.6173    
     99000   300.69419     -4430.586       6944.1172     -34908.654      14672.778     -2693.0029    
    100000   288.00603      7384.592       10032.645     -4225.8109      16346.941     -2693.914     
    101000   288.97521      7869.2928      24359.018     -15639.297      14888.157     -2695.0424    
    102000   278.25347     -155.4955       896.2836      -15712.075      14349.305     -2694.418     
    103000   298.8663      -3364.3712      7135.0786     -31496.05       14267.858     -2693.1523    
    104000   289.58716     -4271.1152     -5453.9613     -21494.576      14135.192     -2692.8265    
    105000   309.00085     -7607.7372     -3377.4859     -33679.86       14234.135     -2692.9642    
    106000   292.2471      -3529.2398      6143.8793     -30834.98       14103.381     -2693.5967    
    107000   291.43028      5340.4206      9088.7227     -8803.2285      15735.768     -2694.5039    
    108000   258.97237      8917.1279      21398.204     -9541.6732      14894.853     -2694.5249    
    109000   295.44945      7325.2206      14969.383     -8362.2337      15368.513     -2692.945     
    110000   302.77265     -4262.0344      136.79373     -28290.254      15367.357     -2692.387     
